Date,Open,High,Low,Close*,Adj Close**,Volume
11-Apr-23,186.69,189.19,185.65,186.79,186.79,"115,770,900"
10-Apr-23,179.94,185.1,176.11,184.51,184.51,"142,154,600"
6-Apr-23,183.08,186.39,179.74,185.06,185.06,"123,857,900"
5-Apr-23,190.52,190.68,183.76,185.52,185.52,"133,882,500"
4-Apr-23,197.32,198.74,190.32,192.58,192.58,"126,463,800"
3-Apr-23,199.91,202.69,192.2,194.77,194.77,"169,545,900"
31-Mar-23,197.53,207.79,197.2,207.46,207.46,"170,222,100"
30-Mar-23,195.58,197.33,194.42,195.28,195.28,"110,252,200"
29-Mar-23,193.13,195.29,189.44,193.88,193.88,"123,660,000"
28-Mar-23,192,192.35,185.43,189.19,189.19,"98,654,600"
27-Mar-23,194.42,197.39,189.94,191.81,191.81,"120,851,600"
24-Mar-23,191.65,192.36,187.15,190.41,190.41,"116,312,400"
23-Mar-23,195.26,199.31,188.65,192.22,192.22,"144,193,900"
22-Mar-23,199.3,200.66,190.95,191.15,191.15,"150,376,400"
21-Mar-23,188.28,198,188.04,197.58,197.58,"153,391,400"
20-Mar-23,178.08,186.44,176.35,183.25,183.25,"129,684,400"
17-Mar-23,184.52,186.22,177.33,180.13,180.13,"133,197,100"
16-Mar-23,180.37,185.81,178.84,184.13,184.13,"121,136,800"
15-Mar-23,180.8,182.34,176.03,180.45,180.45,"145,995,600"
14-Mar-23,177.31,183.8,177.14,183.26,183.26,"143,717,900"
13-Mar-23,167.46,177.35,163.91,174.48,174.48,"167,790,300"
10-Mar-23,175.13,178.29,168.44,173.44,173.44,"191,488,900"
9-Mar-23,180.25,185.18,172.51,172.92,172.92,"170,023,800"
8-Mar-23,185.04,186.5,180,182,182,"151,897,800"
7-Mar-23,191.38,194.2,186.1,187.71,187.71,"148,125,800"
6-Mar-23,198.54,198.6,192.3,193.81,193.81,"128,100,100"
3-Mar-23,194.8,200.48,192.88,197.79,197.79,"154,193,300"
2-Mar-23,186.74,193.75,186.01,190.9,190.9,"181,500,700"
1-Mar-23,206.21,207.2,198.52,202.77,202.77,"156,852,800"
28-Feb-23,210.59,211.23,203.75,205.71,205.71,"153,144,900"
27-Feb-23,202.03,209.42,201.26,207.63,207.63,"161,028,300"
24-Feb-23,196.33,197.67,192.8,196.88,196.88,"142,228,100"
23-Feb-23,203.91,205.14,196.33,202.07,202.07,"146,360,000"
22-Feb-23,197.93,201.99,191.78,200.86,200.86,"191,828,500"
21-Feb-23,204.99,209.71,197.22,197.37,197.37,"180,018,600"
17-Feb-23,199.99,208.44,197.5,208.31,208.31,"213,738,500"
16-Feb-23,210.78,217.65,201.84,202.04,202.04,"229,586,500"
15-Feb-23,211.76,214.66,206.11,214.24,214.24,"181,006,400"
14-Feb-23,191.94,209.82,189.44,209.25,209.25,"216,455,700"
13-Feb-23,194.42,196.3,187.61,194.64,194.64,"172,475,500"
10-Feb-23,202.23,206.2,192.89,196.89,196.89,"204,754,100"
9-Feb-23,207.78,214,204.77,207.32,207.32,"215,431,400"
8-Feb-23,196.1,203,194.31,201.29,201.29,"180,673,600"
7-Feb-23,196.43,197.5,189.55,196.81,196.81,"186,010,300"
6-Feb-23,193.01,198.17,189.92,194.76,194.76,"186,188,100"
3-Feb-23,183.95,199,183.69,189.98,189.98,"232,662,000"
2-Feb-23,187.33,196.75,182.61,188.27,188.27,"217,448,300"
1-Feb-23,173.89,183.81,169.93,181.41,181.41,"213,806,300"
31-Jan-23,164.57,174.3,162.78,173.22,173.22,"196,813,500"
30-Jan-23,178.05,179.77,166.5,166.66,166.66,"230,878,800"
27-Jan-23,162.43,180.68,161.17,177.9,177.9,"306,590,600"
26-Jan-23,159.97,161.42,154.76,160.27,160.27,"234,815,100"
25-Jan-23,141.91,146.41,138.07,144.43,144.43,"192,734,300"
24-Jan-23,143,146.5,141.1,143.89,143.89,"158,699,100"
23-Jan-23,135.87,145.38,134.27,143.75,143.75,"203,119,200"
20-Jan-23,128.68,133.51,127.35,133.42,133.42,"138,858,100"
19-Jan-23,127.26,129.99,124.31,127.17,127.17,"170,291,900"
18-Jan-23,136.56,136.68,127.01,128.78,128.78,"195,680,300"
17-Jan-23,125.7,131.7,125.02,131.49,131.49,"186,477,000"
13-Jan-23,116.55,122.63,115.6,122.4,122.4,"180,714,100"
12-Jan-23,122.56,124.13,117,123.56,123.56,"169,400,900"
11-Jan-23,122.09,125.95,120.51,123.22,123.22,"183,810,800"
10-Jan-23,121.07,122.76,114.92,118.85,118.85,"167,642,500"
9-Jan-23,118.96,123.52,117.11,119.77,119.77,"190,284,000"
6-Jan-23,103,114.39,101.81,113.06,113.06,"220,911,100"
5-Jan-23,110.51,111.75,107.16,110.34,110.34,"157,986,300"
4-Jan-23,109.11,114.59,107.52,113.64,113.64,"180,389,000"
3-Jan-23,118.47,118.8,104.64,108.1,108.1,"231,402,800"
30-Dec-22,119.95,124.48,119.75,123.18,123.18,"157,777,300"
29-Dec-22,120.39,123.57,117.5,121.82,121.82,"221,923,300"
28-Dec-22,110.35,116.27,108.24,112.71,112.71,"221,070,500"
27-Dec-22,117.5,119.67,108.76,109.1,109.1,"208,643,400"
23-Dec-22,126.37,128.62,121.02,123.15,123.15,"166,989,700"
22-Dec-22,136,136.63,122.26,125.35,125.35,"210,090,300"
21-Dec-22,139.34,141.26,135.89,137.57,137.57,"145,417,400"
20-Dec-22,146.05,148.47,137.66,137.8,137.8,"159,563,300"
19-Dec-22,154,155.25,145.82,149.87,149.87,"139,390,600"
16-Dec-22,159.64,160.99,150.04,150.23,150.23,"139,032,200"
15-Dec-22,153.44,160.93,153.28,157.67,157.67,"122,334,500"
14-Dec-22,159.25,161.62,155.31,156.8,156.8,"140,682,300"
13-Dec-22,174.87,175.05,156.91,160.95,160.95,"175,862,700"
12-Dec-22,176.1,177.37,167.52,167.82,167.82,"109,794,500"
9-Dec-22,173.84,182.5,173.36,179.05,179.05,"104,872,300"
8-Dec-22,172.2,175.2,169.06,173.44,173.44,"97,624,500"
7-Dec-22,175.03,179.38,172.22,174.04,174.04,"84,213,300"
6-Dec-22,181.22,183.65,175.33,179.82,179.82,"92,150,800"
5-Dec-22,189.44,191.27,180.55,182.45,182.45,"93,122,700"
2-Dec-22,191.78,196.25,191.11,194.86,194.86,"73,645,900"
1-Dec-22,197.08,198.92,191.8,194.7,194.7,"80,046,200"
30-Nov-22,182.43,194.76,180.63,194.7,194.7,"109,186,400"
29-Nov-22,184.99,186.38,178.75,180.83,180.83,"83,357,100"
28-Nov-22,179.96,188.5,179,182.92,182.92,"92,905,200"
25-Nov-22,185.06,185.2,180.63,182.86,182.86,"50,672,700"
23-Nov-22,173.57,183.62,172.5,183.2,183.2,"109,536,700"
22-Nov-22,168.63,170.92,166.19,169.91,169.91,"78,452,300"
21-Nov-22,175.85,176.77,167.54,167.87,167.87,"92,882,700"
18-Nov-22,185.05,185.19,176.55,180.19,180.19,"76,048,900"
17-Nov-22,183.96,186.16,180.9,183.17,183.17,"64,336,000"
16-Nov-22,191.51,192.57,185.66,186.92,186.92,"66,567,600"
15-Nov-22,195.88,200.82,192.06,194.42,194.42,"91,293,800"
14-Nov-22,192.77,195.73,186.34,190.95,190.95,"92,226,600"
11-Nov-22,186,196.52,182.59,195.97,195.97,"114,403,600"
10-Nov-22,189.9,191,180.03,190.72,190.72,"132,703,000"
9-Nov-22,190.78,195.89,177.12,177.59,177.59,"127,062,700"
